{' No': -0.005300159, 'No': -5.3742537, ' Yes': -7.407945, ' ': -10.08948, 'Yes': -13.439017}
{' No': -0.0047984403, ' ': -10.108453, ' Generally': -13.797435, 'No': -5.351978, ' Yes': -12.4815235}
{' No': -0.005284518, ' ': -10.194423, ' Generally': -10.831405, 'No': -5.2583113, ' Yes': -12.4731245}
{' No': -0.0063666734, 'No': -5.3626933, ' Yes': -6.432874, ' ': -10.426354, ' Generally': -11.288293}
{' No': -0.0077257776, 'No': -4.8776045, ' ': -10.253831, ' Yes': -10.467742, ' Generally': -11.278269}
{' No': -0.007072168, 'No': -4.964399, ' ': -10.523543, ' Generally': -10.687369, ' Yes': -11.578034}
{' No': -0.009272897, ' ': -10.55763, 'No': -5.2050867, ' Yes': -5.5989766, 'Yes': -11.666416}
{' No': -0.09888821, ' Yes': -2.507301, 'No': -4.6160808, ' Generally': -6.085204, 'Yes': -8.539466}
{' Yes': -0.55107427, ' No': -0.86652684, 'No': -6.091584, 'Yes': -7.1593294, ' ': -9.072482}
{' ': -11.49571, ' Generally': -9.845042, ' Yes': -0.0011398852, ' yes': -10.633403, 'Yes': -6.8621607}
{' No': -0.0074564167, ' ': -9.4981365, 'No': -5.305348, ' Yes': -6.0419507, 'Yes': -11.924997}
{' No': -0.0048901387, 'No': -5.3403983, ' ': -9.947862, ' Yes': -10.331994, ' no': -13.928059}
{' No': -0.0054367296, ' ': -10.377613, ' Generally': -10.665896, 'No': -5.2305512, ' Yes': -11.500046}
{' No': -0.02209506, ' Yes': -4.114979, 'No': -5.225584, ' ': -9.995141, ' Generally': -10.031912}
{' No': -0.008730645, ' ': -10.100216, ' Generally': -10.247927, 'No': -4.765404, ' Yes': -9.333206}
{' No': -0.008132259, ' ': -10.387881, ' Generally': -9.888005, 'No': -4.8303576, ' Yes': -10.629756}
{' No': -0.080978006, ' ': -9.167069, 'No': -4.969562, ' Yes': -2.652309, 'Yes': -8.596272}
{' No': -1.1568801, ' Generally': -4.4984117, 'No': -5.5609417, ' Yes': -0.4038627, 'Yes': -6.341221}
{' No': -3.895286, ' Generally': -9.49249, 'No': -8.648435, ' Yes': -0.022832537, 'Yes': -6.2992773}
{' ': -11.816355, ' Generally': -9.324085, ' Yes': -0.0011514624, ' yes': -10.491435, 'Yes': -6.890214}
{' No': -0.0065420843, 'No': -5.270738, ' Yes': -6.6405997, ' ': -9.655999, 'Yes': -12.506497}
{' No': -0.0044966894, ' ': -10.167388, ' Generally': -13.474725, 'No': -5.4194365, ' Yes': -11.157931}
{' No': -0.0048440173, ' ': -10.550428, ' Generally': -10.417567, 'No': -5.3471155, ' Yes': -11.964058}
{' No': -0.011451319, ' ': -10.164933, ' Generally': -9.3555155, 'No': -5.4491167, ' Yes': -4.9740386}
{' No': -0.0082827965, ' ': -10.353296, ' Generally': -10.232496, 'No': -4.8096685, ' Yes': -10.674867}
{' No': -0.0074806763, ' ': -10.508411, ' Generally': -9.729663, 'No': -4.9162235, ' Yes': -10.474517}
{' No': -0.05870282, ' ': -9.3167, 'No': -5.105843, ' Yes': -2.9824755, 'Yes': -9.097246}
{' No': -0.78773946, ' Generally': -3.8078978, 'No': -5.217213, ' Yes': -0.66570145, 'Yes': -6.6243134}
{' Yes': -0.058604535, ' No': -2.906339, 'Yes': -6.463212, 'No': -7.8319197, ' Generally': -9.151677}
{' Generally': -7.8829436, ' Typically': -11.453969, ' Yes': -0.0014834801, ' yes': -10.229154, 'Yes': -6.8672004}
{' No': -0.010054382, ' ': -10.270667, 'No': -5.3749604, ' Yes': -5.236525, 'Yes': -11.469666}
{' No': -0.0050262925, 'No': -5.320458, ' Yes': -9.459711, ' ': -10.237202, ' Generally': -12.316105}
{' No': -0.005480839, ' ': -10.642457, ' Generally': -9.857831, 'No': -5.2284975, ' Yes': -10.957286}
{' No': -0.026061298, ' Generally': -8.818268, 'No': -5.2276816, ' Yes': -3.907542, 'Yes': -10.1129265}
{' No': -0.008194937, 'No': -4.866622, ' Yes': -7.9958353, ' Generally': -9.51871, ' ': -10.160878}
{' No': -0.007473592, ' ': -10.579908, ' Generally': -9.059584, 'No': -4.937302, ' Yes': -9.089239}
{' No': -0.09888229, ' Yes': -2.433824, 'No': -5.110122, 'Yes': -8.623069, ' Generally': -9.049691}
{' No': -0.9861761, ' Generally': -4.101868, 'No': -5.4306912, ' Yes': -0.5049559, 'Yes': -6.5947475}
{' Yes': -0.05353507, ' No': -2.996551, 'Yes': -6.502507, 'No': -7.8776236, ' Generally': -8.825046}
{' Yes': -0.0012683686, 'Yes': -7.09941, ' Generally': -7.8603625, ' yes': -10.558021, ' Typically': -11.3613615}
{' No': -0.044649847, ' ': -8.624412, 'No': -4.7700486, ' Yes': -3.3588722, 'Yes': -9.0066}
{' No': -0.008818675, ' ': -8.914022, ' Generally': -10.017546, 'No': -4.8458776, ' Yes': -7.2786713}
{' No': -0.008084247, ' ': -9.670141, ' Generally': -7.9279237, 'No': -4.9012856, ' Yes': -9.358688}
{' No': -0.2882468, ' Generally': -6.852749, 'No': -5.1332555, ' A': -6.993454, ' Yes': -1.4205881}
{' No': -0.0119892005, ' ': -9.634309, ' Generally': -8.060075, 'No': -4.4889884, ' Yes': -8.509609}
{' No': -0.010519106, 'No': -4.606621, ' Generally': -8.065443, ' Yes': -9.807489, ' ': -10.156836}
{' No': -0.30039728, ' Generally': -8.041158, 'No': -4.960801, ' Yes': -1.3821807, 'Yes': -7.322612}
{' No': -2.3256123, ' Generally': -4.6157236, ' A': -6.430276, ' Yes': -0.12107205, 'Yes': -5.968268}
{' No': -6.0819182, ' A': -9.622131, ' Yes': -0.0046630925, ' yes': -9.204127, 'Yes': -6.193465}
{' Generally': -7.197251, ' Typically': -10.728919, ' Yes': -0.0021065758, ' yes': -9.569328, 'Yes': -6.6961308}
{' No': -0.006839289, ' ': -9.950536, 'No': -5.4360914, ' Yes': -6.03283, 'Yes': -12.225136}
{' No': -0.0051986566, 'No': -5.284219, ' Yes': -9.808089, ' ': -10.023152, ' Generally': -11.776399}
{' No': -0.0059069903, ' ': -10.241313, ' Generally': -9.24596, 'No': -5.1628776, ' Yes': -11.443216}
{' No': -0.012396049, ' ': -9.959848, ' Generally': -9.386227, 'No': -5.341898, ' Yes': -4.915037}
{' No': -0.008303712, ' ': -9.948089, ' Generally': -10.411143, 'No': -4.8111486, ' Yes': -10.04778}
{' No': -0.007575083, ' ': -10.225537, ' Generally': -9.539257, 'No': -4.9057856, ' Yes': -10.879571}
{' No': -0.011073845, ' ': -9.528324, ' Generally': -10.671086, 'No': -5.0795684, ' Yes': -5.3685107}
{' No': -0.82095647, ' Generally': -4.136375, 'No': -5.3132186, ' Yes': -0.6247666, 'Yes': -6.6336794}
{' Yes': -0.28055876, ' No': -1.4216205, 'No': -6.5126276, 'Yes': -6.6995935, ' Generally': -8.488547}
{' Yes': -0.0013331261, 'Yes': -7.116859, ' Generally': -7.6836257, ' yes': -10.572894, ' ': -11.228176}
{' No': -0.007797741, ' ': -9.180468, 'No': -5.3245797, ' Yes': -5.8842278, 'Yes': -11.88382}
{' No': -0.00452088, ' ': -9.346706, 'No': -5.430462, ' Yes': -10.199781, ' no': -13.617985}
{' No': -0.005293866, ' ': -9.442097, ' Generally': -10.063394, 'No': -5.2795477, ' Yes': -9.910197}
{' No': -0.14578429, ' ': -8.476072, 'No': -5.4320254, ' Yes': -2.0356712, 'Yes': -8.360737}
{' No': -0.008084247, ' ': -9.439328, ' Generally': -10.090956, 'No': -4.8484545, ' Yes': -9.453358}
{' No': -0.0075702197, ' ': -9.671562, ' Generally': -9.342974, 'No': -4.915531, ' Yes': -10.0396385}
{' No': -0.5982457, ' ': -7.803444, 'No': -5.562526, ' Yes': -0.80995184, 'Yes': -6.9484844}
