{' No': -0.0012985077, ' ': -10.666913, 'No': -6.681705, ' no': -11.2756815, ' NO': -11.998761}
{' No': -0.0013253062, ' ': -10.513253, 'No': -6.67805, ' no': -10.575275, ' NO': -11.396631}
{' No': -0.0012544625, ' ': -10.43101, 'No': -6.736411, ' no': -10.6107855, ' NO': -11.439837}
{' No': -0.0013780096, ' ': -10.416434, 'No': -6.6519837, ' no': -10.135198, ' NO': -11.2138815}
{' No': -0.0016191732, 'No': -6.454799, ' ': -10.548457, ' no': -11.621982, ' NO': -11.881133}
{' No': -0.0013301412, ' ': -10.474284, 'No': -6.6633573, ' no': -11.16659, ' NO': -11.722009}
{' No': -0.0013473288, ' ': -10.496807, 'No': -6.6567464, ' no': -10.754483, ' NO': -11.528106}
{' No': -0.03927049, ' ': -9.3623295, 'No': -6.816313, ' Yes': -3.290996, 'Yes': -9.258966}
{' No': -0.0017029382, ' ': -10.733201, 'No': -6.400203, ' no': -11.608883, ' NO': -11.860602}
{' No': -0.0022255054, 'No': -6.1330085, ' ': -10.643119, ' Yes': -10.981589, ' no': -12.1250925}
{' No': -0.001441099, ' ': -11.368178, 'No': -6.5581274, ' no': -12.151764, ' NO': -12.482142}
{' No': -0.0012232504, ' ': -11.16664, 'No': -6.7369194, ' no': -11.259029, ' NO': -11.726339}
{' No': -0.0011038419, 'No': -6.8396387, ' ': -11.205753, ' no': -11.442595, ' NO': -11.816961}
{' No': -0.0011982486, ' ': -11.152444, 'No': -6.766403, ' no': -10.805679, ' NO': -11.53867}
{' No': -0.0018556202, ' ': -10.972709, 'No': -6.305683, ' no': -12.349368, ' NO': -12.195382}
{' No': -0.0012445559, 'No': -6.7103047, ' ': -11.179225, ' no': -12.102061, ' NO': -12.178657}
{' No': -0.0012455116, ' ': -11.18157, 'No': -6.715563, ' no': -11.453002, ' NO': -11.854389}
{' No': -0.19561957, ' ': -9.597769, 'No': -7.1360106, ' Yes': -1.7351341, 'Yes': -7.8164783}
{' No': -0.0014813296, ' ': -11.428859, 'No': -6.5304995, ' no': -12.3172245, ' NO': -12.096186}
{' No': -0.0017034161, ' ': -11.367964, 'No': -6.403501, ' Yes': -10.506693, ' NO': -12.654714}
{' No': -0.0014582332, 'No': -6.5419493, ' ': -11.695288, ' no': -12.590518, ' NO': -12.676747}
{' No': -0.001276486, 'No': -6.686753, ' ': -11.3912525, ' no': -11.694366, ' NO': -11.753312}
{' No': -0.0011962183, 'No': -6.7534924, ' ': -11.390836, ' no': -11.576692, ' NO': -11.840381}
{' No': -0.0013527598, ' ': -11.337952, 'No': -6.6362596, ' no': -10.983955, ' NO': -11.525719}
{' No': -0.0017553038, ' ': -11.206404, 'No': -6.3593235, ' no': -12.637621, ' NO': -12.162167}
{' No': -0.0011989638, 'No': -6.7463803, ' ': -11.348111, ' NO': -12.111902, ' no': -12.193581}
{' No': -0.0013540739, ' ': -11.303824, 'No': -6.629322, ' no': -11.400175, ' NO': -11.78454}
{' No': -0.18202141, ' ': -10.015597, 'No': -7.117171, ' Yes': -1.8010321, 'Yes': -7.8100767}
{' No': -0.0017531533, ' ': -11.615423, 'No': -6.3580284, ' no': -12.69766, ' NO': -12.001708}
{' No': -0.0020320928, ' ': -11.497812, 'No': -6.219571, ' Yes': -10.655967, ' NO': -12.597499}
{' No': -0.0017314189, ' ': -11.032889, 'No': -6.376224, ' no': -11.897868, ' NO': -12.37603}
{' No': -0.00157398, ' ': -10.893228, 'No': -6.482277, ' no': -11.174687, ' NO': -11.699577}
{' No': -0.0014308931, ' ': -10.882771, 'No': -6.578287, ' no': -11.3032, ' NO': -11.82109}
{' No': -0.0016328456, ' ': -10.792116, 'No': -6.451437, ' no': -10.730841, ' NO': -11.622722}
{' No': -0.0020209248, ' ': -10.614867, 'No': -6.224606, ' no': -12.020812, ' NO': -12.017542}
{' No': -0.0015408484, ' ': -10.865635, 'No': -6.4981866, ' no': -11.787971, ' NO': -12.086825}
{' No': -0.0017247318, ' ': -10.774097, 'No': -6.3898606, ' no': -11.136527, ' NO': -11.804007}
{' No': -0.10724489, ' ': -9.298765, 'No': -6.7718945, ' Yes': -2.3010447, 'Yes': -8.181591}
{' No': -0.0020736037, ' ': -10.862573, 'No': -6.196213, ' no': -11.939048, ' NO': -11.866512}
{' No': -0.0023525187, ' ': -10.765289, 'No': -6.0737805, ' Yes': -11.0221405, ' NO': -12.399154}
{' No': -0.0023186428, ' ': -11.685133, 'No': -6.076308, ' no': -12.216738, ' NO': -12.206249}
{' No': -0.0018669656, ' ': -11.4635315, 'No': -6.30219, ' no': -11.483443, ' NO': -11.421549}
{' No': -0.0018630251, ' ': -11.356687, 'No': -6.3048377, ' no': -11.377561, ' NO': -11.552106}
{' No': -0.0019241762, 'No': -6.2769384, ' no': -10.889724, ' NO': -11.352252, ' ': -11.373344}
{' No': -0.0029252837, ' ': -11.321702, 'No': -5.8446417, ' no': -12.2844305, ' NO': -11.901768}
{' No': -0.0017963838, ' ': -11.46253, 'No': -6.3356543, ' no': -12.16379, ' NO': -12.035147}
{' No': -0.0018799246, ' ': -11.413188, 'No': -6.2933455, ' no': -11.665505, ' NO': -11.670546}
{' No': -2.1964667, 'No': -8.277935, ' Yes': -0.12241025, ' yes': -8.625196, 'Yes': -5.651699}
{' No': -0.0027282678, ' ': -11.601761, 'No': -5.914138, ' no': -12.444274, ' NO': -11.622129}
{' No': -0.0035547805, ' ': -11.21742, 'No': -5.8003244, ' Yes': -7.6075525, ' NO': -12.4077835}
{' No': -0.0014514871, ' ': -10.866296, 'No': -6.556979, ' no': -11.920138, ' NO': -12.558318}
{' No': -0.0012737405, ' ': -10.844107, 'No': -6.700176, ' no': -11.112771, ' NO': -11.9207945}
{' No': -0.001363742, ' ': -10.738228, 'No': -6.631302, ' no': -11.079153, ' NO': -11.992705}
{' No': -0.0014076717, 'No': -6.6045074, ' no': -10.730285, ' ': -10.733255, ' NO': -11.801044}
{' No': -0.0015627575, 'No': -6.4859033, ' ': -10.631301, ' no': -11.900257, ' NO': -12.299329}
{' No': -0.0012191946, ' ': -10.718964, 'No': -6.7396603, ' no': -11.750499, ' NO': -12.29629}
{' No': -0.0014206251, ' ': -10.808467, 'No': -6.5850725, ' no': -11.36041, ' NO': -12.075637}
{' No': -0.3279744, ' ': -8.70793, 'No': -7.069719, ' Yes': -1.2807924, 'Yes': -7.224592}
{' No': -0.0020380074, 'No': -6.2108526, ' ': -10.907652, ' no': -12.217302, ' NO': -12.406168}
{' No': -0.002409756, ' ': -10.425719, 'No': -6.136241, ' Yes': -8.489394, ' no': -12.579607}
{' No': -0.0016084857, 'No': -6.452967, ' ': -10.800877, ' no': -12.134665, ' NO': -12.3585615}
