{' No': -0.0017037737, ' ': -10.404598, 'No': -6.403393, ' no': -11.600378, ' NO': -12.352069}
{' No': -0.0018525141, ' ': -10.725752, 'No': -6.3125954, ' no': -11.608606, ' NO': -12.29884}
{' No': -0.0018250473, ' ': -10.813127, 'No': -6.324927, ' no': -11.976115, ' NO': -12.417714}
{' No': -0.0020243274, ' ': -10.714774, 'No': -6.2201176, ' no': -12.283369, ' NO': -12.790279}
{' No': -0.002091822, ' ': -10.813817, 'No': -6.186639, ' no': -11.975102, ' NO': -12.279912}
{' No': -0.0019205934, ' ': -10.971478, 'No': -6.270126, ' no': -12.317287, ' NO': -12.519273}
{' No': -0.0019371354, ' ': -10.977056, 'No': -6.260873, ' no': -12.446734, ' NO': -12.811475}
{' No': -0.0018249272, ' ': -11.190211, 'No': -6.3237085, ' Yes': -11.573581, ' NO': -12.827912}
{' No': -0.0016478321, ' ': -11.084966, 'No': -6.431684, ' Yes': -11.093446, ' no': -12.7952585}
{' No': -10.932656, ' ': -11.509541, ' Yes': -0.0016588161, ' yes': -8.821021, 'Yes': -6.518382}
{' No': -0.0013173089, ' ': -11.144523, 'No': -6.6493764, ' no': -12.645552, ' NO': -12.963894}
{' No': -0.0018317351, 'No': -6.314589, ' ': -11.285651, ' no': -12.403628, ' NO': -12.781631}
{' No': -0.0016628759, ' ': -11.342991, 'No': -6.4109907, ' no': -12.777901, ' NO': -12.909798}
{' No': -0.0017830662, 'No': -6.342092, ' ': -11.2734995, ' Yes': -12.794435, ' no': -12.953601}
{' No': -0.002022895, ' ': -11.328771, 'No': -6.213591, ' no': -12.723657, ' NO': -12.702178}
{' No': -0.0016672339, 'No': -6.4058685, ' ': -11.644901, ' NO': -12.873714, ' no': -13.123318}
{' No': -0.0015164923, ' ': -11.706406, 'No': -6.5015774, ' no': -13.039434, ' NO': -13.2373}
{' No': -0.0015639514, ' ': -11.812968, 'No': -6.491668, ' Yes': -10.2335615, ' NO': -13.321961}
{' No': -0.001901063, ' ': -11.375854, 'No': -6.305831, ' Yes': -9.758252, ' NO': -13.25717}
{' No': -12.43804, ' ': -12.307781, ' Yes': -0.0013842167, ' yes': -9.167457, 'Yes': -6.671203}
{' No': -0.0015232365, ' ': -11.185714, 'No': -6.500724, ' no': -12.810113, ' NO': -13.052514}
{' No': -0.0018716832, ' ': -11.301868, 'No': -6.2924423, ' no': -12.515699, ' NO': -12.69813}
{' No': -0.0019886738, ' ': -11.424469, 'No': -6.229577, ' no': -12.963105, ' NO': -12.918715}
{' No': -0.002030422, ' ': -11.28834, 'No': -6.2113347, ' Yes': -12.230558, ' no': -13.114732}
{' No': -0.0023034078, ' ': -11.578597, 'No': -6.081, ' no': -13.192548, ' NO': -12.703982}
{' No': -0.0019528427, ' ': -11.734391, 'No': -6.2457633, ' no': -13.427072, ' NO': -12.995907}
{' No': -0.0018906139, ' ': -11.71322, 'No': -6.2792645, ' Yes': -13.111335, ' no': -13.253317}
{' No': -0.0015619203, ' ': -12.043227, 'No': -6.487785, ' Yes': -10.40746, ' NO': -13.440335}
{' No': -0.0017032959, ' ': -11.785287, 'No': -6.4058695, ' Yes': -10.136498, ' NO': -13.549176}
{' No': -12.226451, ' ': -12.568376, ' Yes': -0.0014750622, ' yes': -9.172022, 'Yes': -6.6013665}
{' No': -0.0017000125, ' ': -10.607555, 'No': -6.3992066, ' no': -12.099543, ' NO': -12.632594}
{' No': -0.0023691864, ' ': -10.76343, 'No': -6.061016, ' no': -11.760283, ' NO': -12.441678}
{' No': -0.0022560924, ' ': -10.91819, 'No': -6.1072254, ' no': -12.421967, ' NO': -12.662776}
{' No': -0.0024242157, 'No': -6.0351233, ' ': -10.955729, ' Yes': -12.438321, ' no': -12.659083}
{' No': -0.0028893552, ' ': -11.023456, 'No': -5.857337, ' no': -12.318971, ' NO': -12.418044}
{' No': -0.00256834, ' ': -11.237421, 'No': -5.973666, ' no': -12.7462845, ' NO': -12.6939535}
{' No': -0.0024144764, ' ': -11.331562, 'No': -6.035466, ' no': -12.909493, ' NO': -13.044547}
