{' No': -0.053980637, ' ': -9.075347, 'No': -6.8188515, ' Yes': -2.9723742, 'Yes': -8.938116}
{' No': -0.0016388145, ' ': -10.611698, 'No': -6.445446, ' Yes': -11.136342, ' no': -12.045123}
{' No': -0.0026860728, ' ': -9.720724, 'No': -6.8129883, ' Yes': -6.495171, 'Yes': -12.256589}
{' No': -0.24132314, ' ': -8.436099, 'No': -7.230973, ' Yes': -1.5466857, 'Yes': -7.681918}
{' No': -0.04180414, ' ': -9.419214, 'No': -6.5901, ' Yes': -3.2353253, 'Yes': -9.029442}
{' No': -1.2026955, ' ': -8.26489, 'No': -8.138202, ' Yes': -0.36028636, 'Yes': -6.526397}
{' Yes': -0.006316585, ' No': -5.4341674, 'Yes': -6.3576155, ' yes': -8.954698, ' ': -9.819062}
{' No': -7.0436664, ' ': -10.506385, ' Yes': -0.0025802325, ' yes': -9.300506, 'Yes': -6.453561}
{' No': -3.1659346, ' ': -9.372939, ' Yes': -0.04509851, ' yes': -9.044155, 'Yes': -6.397961}
{' No': -0.0015572654, ' ': -10.823599, 'No': -6.4868584, ' Yes': -12.000194, ' no': -12.517506}
{' No': -0.23417513, ' ': -9.264551, 'No': -7.1884174, ' Yes': -1.5730116, 'Yes': -7.6956105}
{' No': -0.0014630081, 'No': -6.5542336, ' ': -11.038677, ' Yes': -11.12248, ' no': -12.619902}
{' No': -0.0114351595, ' ': -9.857485, 'No': -7.2422104, ' Yes': -4.5495744, 'Yes': -10.640287}
{' No': -1.3890544, ' ': -9.182042, 'No': -8.604175, ' Yes': -0.28902352, 'Yes': -6.6405187}
{' No': -0.5942414, ' ': -9.196385, 'No': -7.436711, ' Yes': -0.8069146, 'Yes': -6.8906903}
{' Yes': -0.03001638, ' No': -3.575766, 'Yes': -6.570963, ' yes': -9.278425, ' ': -9.819559}
{' No': -8.004976, ' ': -11.183135, ' Yes': -0.0016938034, ' yes': -9.345455, 'Yes': -6.683538}
{' No': -8.970233, ' ': -11.65843, ' Yes': -0.0013352747, ' yes': -9.798534, 'Yes': -6.779024}
{' Yes': -0.0057570445, ' No': -5.433129, 'Yes': -6.666367, ' yes': -9.544643, ' ': -10.911122}
{' No': -0.0015317134, ' ': -11.385005, 'No': -6.5333214, ' Yes': -9.685541, ' no': -13.40724}
{' No': -0.4941233, ' ': -9.244804, 'No': -7.404386, ' Yes': -0.9462374, 'Yes': -6.9984255}
{' No': -0.0016266955, 'No': -6.444851, ' Yes': -11.001237, ' ': -11.1293, ' no': -12.925201}
{' No': -0.013841466, ' ': -9.902476, 'No': -7.1349063, ' Yes': -4.353704, 'Yes': -10.271627}
{' No': -1.7825705, 'No': -8.884196, ' Yes': -0.18660423, ' yes': -9.13586, 'Yes': -6.3875813}
{' No': -0.4190332, ' Yes': -1.0769428, 'Yes': -7.068531, 'No': -7.260752, ' ': -9.520798}
{' No': -3.143347, ' ': -9.887672, ' Yes': -0.04603051, ' yes': -9.1811905, 'Yes': -6.4042053}
{' No': -7.5390663, ' ': -11.282494, ' Yes': -0.002167203, ' yes': -9.299826, 'Yes': -6.487512}
{' No': -8.267406, ' ': -11.817526, ' Yes': -0.0016806078, ' yes': -9.82546, 'Yes': -6.6038265}
{' No': -4.818233, ' ': -11.079376, ' Yes': -0.0097691, ' yes': -9.36259, 'Yes': -6.4841375}
{' No': -0.0014724367, ' ': -11.692843, 'No': -6.562263, ' Yes': -9.939581, ' no': -13.787772}
{' No': -0.070555046, ' ': -9.11765, 'No': -6.7277455, ' Yes': -2.7090323, 'Yes': -8.574102}
{' No': -0.0018658907, ' ': -10.779617, 'No': -6.30691, ' Yes': -11.318892, ' no': -12.547092}
{' No': -0.0068133622, ' ': -9.652939, 'No': -6.8864236, ' Yes': -5.1706967, 'Yes': -10.969383}
{' Yes': -0.35309327, ' No': -1.2197105, 'Yes': -6.441483, 'No': -8.094729, ' ': -8.708207}
{' No': -0.15175176, ' ': -9.145335, 'No': -6.6401033, ' Yes': -1.9739181, 'Yes': -7.731481}
{' No': -2.5615778, ' ': -9.110181, ' Yes': -0.082640976, ' yes': -9.330876, 'Yes': -6.293235}
{' Yes': -0.0030726488, 'Yes': -6.304111, ' No': -6.789949, ' yes': -9.450476, ' ': -10.508414}
{' No': -8.008159, ' ': -11.032593, ' Yes': -0.0021008404, ' yes': -9.722435, 'Yes': -6.388076}
{' No': -3.9275126, ' ': -9.937255, ' Yes': -0.021949558, ' yes': -9.4530325, 'Yes': -6.286124}
{' No': -0.0018858361, ' ': -11.120798, 'No': -6.30153, ' Yes': -10.350325, ' no': -13.172608}
{' No': -2.467709, 'No': -8.488659, ' Yes': -0.09337859, ' yes': -8.3199005, 'Yes': -5.5646763}
{' No': -0.0030893907, ' ': -11.309079, 'No': -5.807056, ' Yes': -9.759107, ' NO': -12.536261}
{' No': -0.05664581, ' Yes': -2.9342303, 'No': -6.4701395, 'Yes': -8.368756, ' ': -9.239949}
{' No': -2.4402301, 'No': -8.649512, ' Yes': -0.095595166, ' yes': -8.7137785, 'Yes': -5.635564}
{' No': -2.2379377, 'No': -8.367588, ' Yes': -0.11708612, ' yes': -8.729291, 'Yes': -5.7019477}
{' No': -3.5099618, ' ': -9.570067, ' Yes': -0.03403651, ' yes': -8.847104, 'Yes': -5.7189665}
{' Yes': -0.0035311535, 'Yes': -5.809489, ' No': -7.921505, ' yes': -8.95266, ' ': -10.744247}
{' No': -9.2198, ' ': -11.494207, ' Yes': -0.003051964, ' yes': -9.246162, 'Yes': -5.867519}
{' No': -5.8733425, ' ': -10.5909195, ' Yes': -0.005989195, ' yes': -8.972088, 'Yes': -5.8125205}
{' No': -0.0086545255, ' Yes': -5.1250925, 'No': -5.948643, 'Yes': -10.449771, ' ': -10.528475}
{' No': -0.43624333, ' ': -8.475199, 'No': -7.1691933, ' Yes': -1.0455477, 'Yes': -6.942644}
{' No': -0.0015057466, ' ': -10.628049, 'No': -6.5561047, ' Yes': -9.838584, ' no': -12.697511}
{' No': -0.05737526, ' Yes': -2.908287, 'No': -7.0645814, ' ': -8.655536, 'Yes': -8.826964}
{' No': -2.6802006, ' ': -9.04043, ' Yes': -0.073372066, ' yes': -9.077286, 'Yes': -6.2717586}
{' Yes': -0.5778037, ' No': -0.82881653, 'Yes': -6.518721, 'No': -7.520934, ' ': -8.598752}
{' Yes': -0.05958016, ' No': -2.886576, 'Yes': -6.333666, ' ': -8.925116, ' yes': -9.140793}
{' No': -7.1657424, ' ': -10.259312, ' Yes': -0.00261119, ' yes': -9.189945, 'Yes': -6.3824196}
{' No': -7.905752, ' ': -10.667118, ' Yes': -0.0021551978, ' yes': -9.395737, 'Yes': -6.394729}
{' No': -5.1069546, ' ': -10.038166, ' Yes': -0.007969004, ' yes': -9.366808, 'Yes': -6.353111}
{' No': -0.0022976727, ' ': -10.336662, 'No': -6.695918, ' Yes': -6.887812, 'Yes': -12.713547}
{' No': -0.2092039, ' ': -8.029722, 'No': -6.6581073, ' Yes': -1.6798747, 'Yes': -7.3036056}
{' No': -0.0016096797, 'No': -6.4624095, ' ': -10.705374, ' Yes': -10.859197, ' no': -12.880399}
{' No': -0.014198099, ' ': -9.093888, 'No': -6.8847365, ' Yes': -4.3492737, 'Yes': -10.187833}
{' Yes': -0.30831158, ' No': -1.335785, 'Yes': -6.366102, 'No': -8.137964, ' ': -8.44759}
{' No': -1.6674205, ' ': -8.294345, 'No': -8.130736, ' Yes': -0.21315691, 'Yes': -5.9891343}
{' No': -3.2160912, ' ': -8.605114, ' Yes': -0.043625038, ' yes': -8.846376, 'Yes': -6.1252155}
{' Yes': -0.0033327634, 'Yes': -6.0197854, ' No': -7.312592, ' yes': -8.846605, ' ': -9.496759}
{' No': -8.010022, ' ': -9.733907, ' Yes': -0.0030872375, ' yes': -9.00174, 'Yes': -5.9698663}
{' No': -5.216345, ' ': -9.090448, ' Yes': -0.0082037095, ' yes': -8.873112, 'Yes': -6.0029426}
{' No': -0.0036790292, ' ': -10.453876, 'No': -6.5353675, ' Yes': -6.1276293, 'Yes': -11.944207}
{' No': -3.1321, ' ': -10.339095, ' Yes': -0.046191234, ' yes': -8.913143, 'Yes': -6.6353426}
{' No': -0.000980093, ' ': -11.384801, 'No': -7.144107, ' Yes': -8.653274, ' no': -13.077201}
{' No': -0.63358235, ' ': -9.024156, 'No': -8.313118, ' Yes': -0.7588341, 'Yes': -7.304095}
{' No': -4.7976375, ' ': -10.818591, ' Yes': -0.009607201, ' yes': -9.368068, 'Yes': -6.727459}
{' No': -2.798621, 'No': -10.192962, ' Yes': -0.064385355, ' yes': -9.261995, 'Yes': -6.644541}
{' No': -6.5788107, ' ': -11.062855, ' Yes': -0.002458392, ' yes': -9.5208235, 'Yes': -6.9372096}
{' No': -9.448614, ' ': -11.757305, ' Yes': -0.0013433921, ' yes': -9.629431, 'Yes': -6.7376366}
{' No': -9.961649, ' ': -12.215782, ' Yes': -0.00092329714, ' yes': -10.036927, 'Yes': -7.1027102}
{' Yes': -0.0018110126, 'Yes': -6.923756, ' No': -7.1862874, ' yes': -9.799866, ' ': -11.666956}
{' No': -0.004688245, ' ': -10.995411, 'No': -7.0540347, ' Yes': -5.57658, 'Yes': -11.64034}
{' No': -0.9993568, 'No': -7.7203455, ' Yes': -0.46271467, ' yes': -8.983342, 'Yes': -6.4107904}
{' No': -0.0015700395, ' ': -11.287214, 'No': -6.507555, ' Yes': -9.738277, ' no': -12.750987}
{' No': -0.11157664, ' ': -9.236277, 'No': -7.1564655, ' Yes': -2.2593925, 'Yes': -8.253708}
{' Yes': -0.057124432, ' No': -2.9343998, 'Yes': -6.1567717, ' yes': -8.943681, 'No': -9.8054495}
{' No': -0.99963474, 'No': -7.6338453, ' Yes': -0.4629011, ' yes': -9.287389, 'Yes': -6.2689657}
{' No': -4.68145, ' ': -10.347302, ' Yes': -0.01121181, ' yes': -9.137138, 'Yes': -6.3599324}
{' No': -8.166646, ' ': -11.341031, ' Yes': -0.0020423073, ' yes': -9.27847, 'Yes': -6.409953}
{' No': -8.811189, ' ': -11.868726, ' Yes': -0.0019735633, ' yes': -9.645503, 'Yes': -6.351367}
{' No': -5.6082344, ' ': -11.219601, ' Yes': -0.005806506, ' yes': -9.475325, 'Yes': -6.2034054}
{' No': -0.0018578888, ' ': -11.539378, 'No': -6.4176846, ' Yes': -8.46628, ' no': -13.456008}
{' No': -2.7671266, 'No': -9.855423, ' Yes': -0.066879705, ' yes': -8.762156, 'Yes': -6.439852}
{' No': -0.001214659, ' ': -11.648434, 'No': -6.808433, ' Yes': -9.246451, ' NO': -13.154015}
{' No': -0.3449825, ' Yes': -1.2353405, 'Yes': -7.579809, 'No': -7.831682, ' ': -9.389162}
{' No': -5.193159, ' ': -10.819923, ' Yes': -0.0072707585, ' yes': -9.1801605, 'Yes': -6.466375}
{' Yes': -0.07478738, ' No': -2.65378, 'Yes': -6.4995093, ' yes': -9.329685, 'No': -9.884668}
{' No': -6.1453056, ' ': -11.224402, ' Yes': -0.003442749, ' yes': -9.510979, 'Yes': -6.7280707}
{' No': -9.587892, ' ': -12.116529, ' Yes': -0.0012980299, ' yes': -9.644165, 'Yes': -6.7653646}
{' No': -10.011794, ' YES': -12.103332, ' Yes': -0.0011648871, ' yes': -10.109177, 'Yes': -6.841417}
{' No': -7.283261, ' ': -12.157639, ' Yes': -0.0021848262, ' yes': -9.895408, 'Yes': -6.546157}
{' No': -0.0065788035, ' ': -11.284621, 'No': -7.032303, ' Yes': -5.1763306, 'Yes': -11.402062}
{' No': -0.40524906, ' ': -9.751598, 'No': -7.596178, ' Yes': -1.1026807, 'Yes': -7.437435}
{' No': -0.001000319, ' ': -11.776745, 'No': -6.941033, ' Yes': -10.774619, ' no': -13.180805}
{' No': -0.025110247, ' ': -10.225785, 'No': -7.44524, ' Yes': -3.724634, 'Yes': -9.913762}
{' No': -2.4964697, 'No': -9.793621, ' Yes': -0.08774994, ' yes': -9.253592, 'Yes': -6.5449605}
{' No': -0.8168611, 'No': -7.988787, ' Yes': -0.58574194, ' yes': -9.626758, 'Yes': -6.8677855}
{' No': -4.036823, ' ': -10.634324, ' Yes': -0.019222153, ' yes': -9.389863, 'Yes': -6.675857}
{' Yes': -0.0014363241, 'Yes': -6.82126, ' No': -8.208638, ' yes': -9.689309, ' ': -11.989487}
{' Yes': -0.00096488127, 'Yes': -7.122594, ' No': -9.135428, ' yes': -10.088929, ' YES': -12.26415}
{' No': -5.326156, ' ': -11.675628, ' Yes': -0.006236633, ' yes': -9.643691, 'Yes': -6.6660795}
{' No': -0.0012964783, ' ': -12.326159, 'No': -7.165612, ' Yes': -7.568614, 'Yes': -13.766334}
