{' No': -0.45905298, ' ': -8.874247, 'No': -7.228599, ' Yes': -1.0040588, 'Yes': -7.198021}
{' No': -0.0010808703, ' ': -10.981137, 'No': -6.8586473, ' no': -12.025159, ' NO': -12.704294}
{' No': -0.0008994939, ' ': -10.659894, 'No': -7.0593, ' Yes': -11.966633, ' no': -11.980171}
{' No': -0.0010870175, ' ': -10.917416, 'No': -6.8583, ' no': -11.429749, ' NO': -12.230609}
{' No': -0.0034230738, ' ': -9.968614, 'No': -6.6939936, ' Yes': -6.1581774, 'Yes': -12.067839}
{' No': -0.001121327, ' ': -10.476579, 'No': -6.833534, ' Yes': -12.316923, ' no': -11.95773}
{' No': -0.001190132, ' ': -10.703406, 'No': -6.7680855, ' no': -11.524054, ' NO': -12.218696}
{' No': -0.0013654137, ' ': -10.616235, 'No': -6.6234636, ' no': -12.244987, ' NO': -12.397502}
{' No': -0.0014162097, ' ': -10.777574, 'No': -6.5903096, ' no': -11.35372, ' NO': -11.828989}
{' No': -0.0016690249, ' ': -10.6897335, 'No': -6.4239655, ' no': -11.267362, ' NO': -11.745802}
{' Yes': -0.020755365, ' No': -3.9746509, 'Yes': -6.476516, ' yes': -8.702046, ' ': -10.599503}
{' No': -0.0010190536, ' ': -11.440601, 'No': -6.915798, ' Yes': -11.495949, ' no': -12.612698}
{' No': -0.0007459447, ' ': -11.357181, 'No': -7.254291, ' Yes': -10.695291, ' no': -12.952671}
{' No': -0.0008782541, ' ': -11.681729, 'No': -7.058779, ' no': -12.259032, ' NO': -12.712989}
{' No': -0.008749223, ' ': -10.123567, 'No': -6.8714657, ' Yes': -4.878479, 'Yes': -10.937025}
{' No': -0.00096380746, ' ': -10.97606, 'No': -6.9769063, ' Yes': -11.735987, ' no': -12.88142}
{' No': -0.0011222807, ' ': -11.151313, 'No': -6.8156095, ' no': -12.175775, ' NO': -12.625389}
{' No': -0.0013894703, 'No': -6.5952916, ' ': -11.082901, ' NO': -12.89502, ' no': -13.096384}
{' No': -0.0011854162, ' ': -11.502295, 'No': -6.7549944, ' no': -12.379026, ' NO': -12.320099}
{' No': -0.0013923344, ' ': -11.36079, 'No': -6.593082, ' no': -12.317413, ' NO': -12.3155575}
{' No': -3.4644437, 'No': -10.32853, ' Yes': -0.033861816, ' yes': -8.646529, 'Yes': -6.337252}
{' No': -0.0011031248, ' ': -11.710221, 'No': -6.828617, ' Yes': -11.907649, ' no': -12.67638}
{' No': -0.00080929237, ' ': -11.52659, 'No': -7.1532025, ' Yes': -11.260197, ' no': -13.011637}
{' No': -0.0010714434, ' ': -11.771762, 'No': -6.854867, ' no': -12.356806, ' NO': -12.861765}
{' No': -0.0046024336, ' ': -10.61065, 'No': -6.7718577, ' Yes': -5.6817966, 'Yes': -11.547992}
{' No': -0.0009090991, ' ': -11.406164, 'No': -7.023198, ' Yes': -12.733089, ' no': -13.192937}
{' No': -0.0010806309, ' ': -11.488663, 'No': -6.847462, ' no': -12.510627, ' NO': -12.734812}
{' No': -0.0014339963, ' ': -11.462077, 'No': -6.5589805, ' no': -13.441619, ' NO': -12.999697}
{' No': -0.0015426375, ' ': -11.624641, 'No': -6.4865294, ' no': -12.6595955, ' NO': -12.224969}
{' No': -0.0018518561, 'No': -6.3020663, ' ': -11.543388, ' NO': -12.376956, ' no': -12.676863}
{' No': -2.951872, 'No': -9.459156, ' Yes': -0.056213725, ' yes': -8.570602, 'Yes': -6.1693916}
{' No': -0.0014087466, ' ': -11.097054, 'No': -6.59558, ' Yes': -10.850284, ' no': -12.467425}
{' No': -0.0010665503, ' ': -10.876915, 'No': -6.9028983, ' Yes': -10.212067, ' no': -12.643975}
{' No': -0.0012948075, ' ': -11.162409, 'No': -6.671682, ' no': -11.929392, ' NO': -12.623534}
{' No': -0.021566646, ' ': -9.353651, 'No': -6.5770416, ' Yes': -3.922775, 'Yes': -9.782677}
{' No': -0.0011317086, 'No': -6.820376, ' ': -10.716269, ' Yes': -11.334555, ' no': -12.7509}
{' No': -0.0014345942, ' ': -10.825872, 'No': -6.570574, ' no': -11.960989, ' NO': -12.580515}
{' No': -0.0016564281, 'No': -6.4218674, ' ': -10.805037, ' no': -12.578816, ' NO': -12.640167}
{' No': -0.00192776, ' ': -11.03729, 'No': -6.2683516, ' no': -11.835264, ' NO': -12.034766}
{' No': -0.0020325705, ' ': -10.863548, 'No': -6.2157774, ' no': -11.88381, ' NO': -12.131848}
{' No': -2.3585818, 'No': -8.371706, ' Yes': -0.10355796, ' yes': -8.28082, 'Yes': -5.7204432}
{' No': -0.0018185369, ' ': -11.835156, 'No': -6.3233895, ' Yes': -11.710247, ' no': -12.369896}
{' No': -0.0014975072, ' ': -11.225778, 'No': -6.5638633, ' Yes': -9.627928, ' no': -12.510741}
{' No': -0.0016781007, ' ': -11.692459, 'No': -6.4059305, ' Yes': -11.973132, ' no': -12.126852}
{' No': -0.26067728, ' Yes': -1.4830912, 'No': -6.46294, 'Yes': -7.1533985, ' ': -9.163102}
{' No': -0.0016213227, ' ': -11.042161, 'No': -6.489221, ' Yes': -9.459942, ' no': -12.7805}
{' No': -0.0017593625, ' ': -11.384945, 'No': -6.359627, ' Yes': -11.957764, ' no': -12.190723}
{' No': -0.002518444, ' ': -11.092908, 'No': -5.997444, ' Yes': -11.957724, ' NO': -12.438195}
{' No': -0.001965202, ' ': -11.687098, 'No': -6.2435136, ' no': -12.245816, ' NO': -12.020758}
{' No': -0.0025932018, ' ': -11.363004, 'No': -5.965466, ' no': -12.197942, ' NO': -12.002901}
{' No': -2.5442102, 'No': -9.38628, ' Yes': -0.08405272, ' yes': -8.611059, 'Yes': -6.358798}
{' No': -0.0011306357, 'No': -6.830901, ' ': -10.626237, ' Yes': -10.916036, ' no': -12.247851}
{' No': -0.0010052123, ' ': -10.412652, 'No': -7.0152907, ' Yes': -9.567926, ' no': -12.412387}
{' No': -0.0010940575, ' ': -10.691924, 'No': -6.8539667, ' Yes': -11.973432, ' no': -12.057331}
{' No': -0.008036839, ' ': -9.417701, 'No': -6.8131685, ' Yes': -4.991151, 'Yes': -10.94299}
{' No': -0.0010228711, ' ': -10.297998, 'No': -6.943604, ' Yes': -10.973841, ' no': -12.5804615}
{' No': -0.0011073037, ' ': -10.557145, 'No': -6.8421392, ' Yes': -12.592273, ' no': -12.127235}
{' No': -0.0011506272, ' ': -10.782856, 'No': -6.793398, ' Yes': -12.876844, ' no': -12.82881}
{' No': -0.0017062826, 'No': -6.3904734, ' ': -10.970838, ' no': -12.090264, ' NO': -12.52525}
{' No': -0.0014664652, ' ': -10.787351, 'No': -6.5473456, ' no': -12.055682, ' NO': -12.420672}
{' Yes': -0.40995243, ' No': -1.0972253, 'Yes': -6.413488, 'No': -7.619578, ' yes': -8.443695}
{' No': -0.0012665795, ' ': -10.9936075, 'No': -6.6953316, ' no': -11.975039, ' NO': -12.861113}
{' No': -0.0010333165, ' ': -10.831014, 'No': -6.913509, ' Yes': -11.343205, ' no': -12.370321}
{' No': -0.0011862527, ' ': -10.937887, 'No': -6.7644224, ' no': -11.836699, ' NO': -12.451757}
{' No': -0.0031814694, ' Yes': -6.3172827, 'No': -6.631672, ' ': -10.085187, 'Yes': -12.192546}
{' No': -0.0011965778, ' ': -10.6530285, 'No': -6.7598543, ' Yes': -12.010426, ' no': -12.568882}
{' No': -0.0012446751, ' ': -11.054958, 'No': -6.7111344, ' no': -12.124841, ' NO': -12.481402}
{' No': -0.0019666343, ' ': -10.690277, 'No': -6.248648, ' no': -12.679425, ' NO': -12.495576}
{' No': -0.0015303993, 'No': -6.5023885, ' ': -10.991267, ' NO': -12.029476, ' no': -12.118039}
{' No': -0.0018545444, ' ': -10.870192, 'No': -6.3079476, ' no': -12.18209, ' NO': -12.03925}
{' No': -3.4677012, 'No': -10.584511, ' Yes': -0.03332364, ' yes': -8.884674, 'Yes': -6.571957}
{' No': -0.0007360401, ' ': -11.657157, 'No': -7.2570033, ' Yes': -11.009816, ' no': -12.552888}
{' No': -0.00068766857, ' ': -11.210681, 'No': -7.4664235, ' Yes': -9.232469, ' no': -12.83497}
{' No': -0.0006746054, ' ': -11.647746, 'No': -7.3354197, ' Yes': -11.881656, ' no': -12.394737}
{' No': -0.20182303, ' ': -9.702455, 'No': -7.6356716, ' Yes': -1.704125, 'Yes': -8.285696}
{' No': -0.00062468514, 'No': -7.418854, ' Yes': -11.307652, ' ': -11.565987, ' no': -13.414843}
{' No': -0.0006370312, ' ': -11.557967, 'No': -7.387676, ' Yes': -12.951127, ' no': -12.592062}
{' No': -0.00090032927, ' ': -11.737947, 'No': -7.028196, ' Yes': -12.977053, ' NO': -13.241804}
{' No': -0.0010393998, 'No': -6.884931, ' ': -11.809234, ' NO': -12.426753, ' no': -12.454355}
{' No': -0.0011009781, ' ': -11.604622, 'No': -6.8274, ' no': -12.598088, ' NO': -12.507432}
{' No': -2.669138, 'No': -9.069944, ' Yes': -0.07488245, ' yes': -8.517573, 'Yes': -5.9988246}
{' No': -0.0011935929, ' ': -11.53181, 'No': -6.75517, ' Yes': -11.337157, ' no': -12.331338}
