(20, 'mouse', 'cat')
(20, 'mouse', 'lion')
(20, 'mouse', 'elephant')
(20, 'mouse', 'whale')
(20, 'cat', 'lion')
(20, 'cat', 'elephant')
(20, 'cat', 'whale')
(20, 'lion', 'elephant')
(20, 'lion', 'whale')
(20, 'elephant', 'whale')
(21, 'mouse', 'cat')
(21, 'mouse', 'lion')
(21, 'mouse', 'elephant')
(21, 'mouse', 'whale')
(21, 'cat', 'lion')
(21, 'cat', 'elephant')
(21, 'cat', 'whale')
(21, 'lion', 'elephant')
(21, 'lion', 'whale')
(21, 'elephant', 'whale')
(22, 'mouse', 'cat')
(22, 'mouse', 'lion')
(22, 'mouse', 'elephant')
(22, 'mouse', 'whale')
(22, 'cat', 'lion')
(22, 'cat', 'elephant')
(22, 'cat', 'whale')
(22, 'lion', 'elephant')
(22, 'lion', 'whale')
(22, 'elephant', 'whale')
(23, 'mouse', 'cat')
(23, 'mouse', 'lion')
(23, 'mouse', 'elephant')
(23, 'mouse', 'whale')
(23, 'cat', 'lion')
(23, 'cat', 'elephant')
(23, 'cat', 'whale')
(23, 'lion', 'elephant')
(23, 'lion', 'whale')
(23, 'elephant', 'whale')
(24, 'mouse', 'cat')
(24, 'mouse', 'lion')
(24, 'mouse', 'elephant')
(24, 'mouse', 'whale')
(24, 'cat', 'lion')
(24, 'cat', 'elephant')
(24, 'cat', 'whale')
(24, 'lion', 'elephant')
(24, 'lion', 'whale')
(24, 'elephant', 'whale')
(25, 'mouse', 'cat')
(25, 'mouse', 'lion')
(25, 'mouse', 'elephant')
(25, 'mouse', 'whale')
(25, 'cat', 'lion')
(25, 'cat', 'elephant')
(25, 'cat', 'whale')
(25, 'lion', 'elephant')
(25, 'lion', 'whale')
(25, 'elephant', 'whale')
(26, 'mouse', 'cat')
(26, 'mouse', 'lion')
(26, 'mouse', 'elephant')
(26, 'mouse', 'whale')
(26, 'cat', 'lion')
(26, 'cat', 'elephant')
(26, 'cat', 'whale')
(26, 'lion', 'elephant')
(26, 'lion', 'whale')
(26, 'elephant', 'whale')
(27, 'mouse', 'cat')
(27, 'mouse', 'lion')
(27, 'mouse', 'elephant')
(27, 'mouse', 'whale')
(27, 'cat', 'lion')
(27, 'cat', 'elephant')
(27, 'cat', 'whale')
(27, 'lion', 'elephant')
(27, 'lion', 'whale')
(27, 'elephant', 'whale')
(28, 'mouse', 'cat')
(28, 'mouse', 'lion')
(28, 'mouse', 'elephant')
(28, 'mouse', 'whale')
(28, 'cat', 'lion')
(28, 'cat', 'elephant')
(28, 'cat', 'whale')
(28, 'lion', 'elephant')
(28, 'lion', 'whale')
(28, 'elephant', 'whale')
(29, 'mouse', 'cat')
(29, 'mouse', 'lion')
(29, 'mouse', 'elephant')
(29, 'mouse', 'whale')
(29, 'cat', 'lion')
(29, 'cat', 'elephant')
