{' No': -4.598474, ' ': -9.216443, 'No': -9.476094, ' Yes': -0.012219787, 'Yes': -6.315896}
{' No': -0.004989812, ' ': -10.28627, 'No': -5.3158264, ' A': -13.4292755, ' Yes': -10.550538}
{' No': -0.061013363, ' ': -8.9434595, 'No': -5.590373, ' Yes': -2.8970556, 'Yes': -9.096866}
{' No': -5.706093, ' ': -9.504781, ' Yes': -0.004904273, ' yes': -10.015432, 'Yes': -6.5537724}
{' No': -5.7782636, ' ': -9.422229, ' Generally': -9.430791, ' Yes': -0.005564809, 'Yes': -6.133059}
{' No': -7.6343675, ' ': -9.948624, ' Yes': -0.0021688775, ' yes': -10.1796875, 'Yes': -6.444729}
{' No': -13.150811, ' ': -10.420493, ' Yes': -0.0016299207, ' yes': -10.362001, 'Yes': -6.461407}
{' ': -10.622663, ' Generally': -11.596409, ' Yes': -0.0014917175, ' yes': -10.259963, 'Yes': -6.5602126}
{' No': -11.652203, ' ': -10.869722, ' Yes': -0.0013513266, ' yes': -10.637609, 'Yes': -6.648036}
{' No': -0.008909296, ' ': -10.623955, ' Generally': -9.118119, 'No': -4.7463646, ' Yes': -10.089228}
{' Yes': -0.032513984, ' No': -3.537345, 'Yes': -6.0814357, 'No': -8.216899, ' ': -9.016343}
{' No': -0.0059260554, ' ': -9.752482, 'No': -5.1439834, ' A': -12.306512, ' Yes': -11.851237}
{' No': -0.08079356, ' Yes': -2.6164992, 'No': -5.485071, 'Yes': -8.65803, ' ': -8.734586}
{' No': -7.834775, ' ': -9.953221, ' Yes': -0.0021455805, ' yes': -9.892964, 'Yes': -6.412526}
{' Yes': -0.0029047187, 'Yes': -6.111603, ' No': -8.0123, ' Generally': -8.72335, ' yes': -9.385868}
{' No': -9.099875, ' ': -9.512614, ' Yes': -0.0021562725, ' yes': -9.71428, 'Yes': -6.26846}
{' YES': -13.390759, ' ': -10.47444, ' Yes': -0.001858009, ' yes': -9.976114, 'Yes': -6.3325806}
{' Yes': -0.0017037737, 'Yes': -6.430889, ' yes': -10.082384, ' Generally': -10.633873, ' ': -10.953569}
{' No': -12.110666, ' ': -10.425177, ' Yes': -0.00183639, ' yes': -10.044094, 'Yes': -6.347364}
{' No': -0.026820255, ' Generally': -5.2659273, ' Typically': -8.466367, 'No': -4.5589094, ' Yes': -4.567971}
{' No': -3.5279675, ' ': -8.880428, 'No': -8.183712, ' Yes': -0.032789376, 'Yes': -6.0881405}
{' No': -0.0053327563, ' ': -9.773491, 'No': -5.2528815, ' A': -12.032922, ' Yes': -10.87723}
{' No': -0.08287077, ' ': -8.714552, 'No': -5.4565334, ' Yes': -2.5924304, 'Yes': -8.650137}
{' Yes': -0.0027401613, 'Yes': -6.6265, ' No': -6.643708, ' ': -9.93286, ' yes': -9.963561}
{' Yes': -0.0028761434, 'Yes': -6.166397, ' No': -7.7704062, ' Generally': -8.661595, ' yes': -9.415841}
{' No': -8.113159, ' ': -9.4855, ' Yes': -0.0021639187, ' yes': -9.692709, 'Yes': -6.37226}
{' No': -13.329801, ' ': -10.685961, ' Yes': -0.0016537999, ' yes': -10.114189, 'Yes': -6.4472117}
{' ': -10.917827, ' Generally': -10.078938, ' Yes': -0.0016385759, ' yes': -10.044766, 'Yes': -6.486675}
{' No': -11.481937, ' ': -10.579928, ' Yes': -0.0016474124, ' yes': -10.118979, 'Yes': -6.4597006}
{' No': -0.02484331, ' Generally': -4.8270125, ' Typically': -8.319716, 'No': -4.5387397, ' Yes': -5.228006}
{' No': -6.038219, ' ': -10.037776, ' Yes': -0.004298945, ' yes': -9.527259, 'Yes': -6.368108}
{' No': -0.008177569, ' ': -9.247599, 'No': -5.1669946, ' A': -11.04394, ' Yes': -6.073073}
{' No': -0.67332643, ' ': -8.600042, 'No': -6.0665107, ' Yes': -0.7206744, 'Yes': -7.0892463}
{' No': -8.388926, ' ': -9.933487, ' Yes': -0.0016896245, ' yes': -9.895529, 'Yes': -6.6063704}
{' No': -8.495794, ' Generally': -8.488182, ' Yes': -0.002472194, ' yes': -9.497961, 'Yes': -6.2626834}
{' No': -8.909793, ' ': -10.073417, ' Yes': -0.0017963838, ' yes': -9.97755, 'Yes': -6.464372}
{' YES': -13.461633, ' ': -10.818837, ' Yes': -0.0014431293, ' yes': -10.202186, 'Yes': -6.5848403}
{' ': -11.015831, ' Generally': -10.131163, ' Yes': -0.0015433538, ' yes': -10.136682, 'Yes': -6.5444236}
{' Yes': -0.0015433538, 'Yes': -6.5243797, ' yes': -10.194689, ' ': -10.5479355, ' No': -11.989341}
{' No': -0.025634306, ' Generally': -4.90513, ' Typically': -8.174077, 'No': -4.5895553, ' Yes': -4.9353347}
