{' Yes': -0.0011409608, 'Yes': -6.832336, ' yes': -10.393673, ' ': -11.210345, ' Generally': -11.526474}
{' No': -3.1332302, ' ': -9.433116, 'No': -8.814854, ' Yes': -0.046156026, 'Yes': -6.6726923}
{' Yes': -0.0013743065, 'Yes': -6.872298, ' No': -8.2039995, ' ': -10.403346, ' yes': -10.403867}
{' No': -0.25399116, ' ': -9.138065, 'No': -6.376237, ' Yes': -1.5044814, 'Yes': -7.9765267}
{' ': -10.93251, ' Generally': -12.664084, ' Yes': -0.001169065, ' yes': -10.377925, 'Yes': -6.8018317}
{' No': -8.806401, ' ': -10.064529, ' Yes': -0.0013364677, ' yes': -10.284944, 'Yes': -6.8082647}
{' No': -0.41955715, ' ': -8.913579, 'No': -6.2908454, ' Yes': -1.0784338, 'Yes': -7.574174}
{' No': -0.65416086, ' Yes': -0.74030817, 'No': -6.0625815, 'Yes': -7.3756933, ' ': -8.640687}
{' No': -0.0031093613, ' ': -10.483408, 'No': -5.7948875, ' Yes': -10.354023, ' no': -14.725145}
{' No': -0.004275722, ' ': -10.55539, 'No': -5.4640307, ' Yes': -13.009343, ' no': -14.257997}
{' ': -11.707466, ' Generally': -11.239369, ' Yes': -0.0010952523, ' yes': -10.240267, 'Yes': -6.873689}
{' No': -7.637311, ' ': -10.287108, ' Yes': -0.0019372554, ' yes': -10.020375, 'Yes': -6.5931215}
{' No': -11.834724, ' ': -10.917925, ' Yes': -0.0014308931, ' yes': -10.054153, 'Yes': -6.601043}
{' Yes': -0.07365266, ' No': -2.6720812, 'Yes': -6.4612994, 'No': -8.408183, ' yes': -9.798863}
{' ': -11.3080225, ' Generally': -12.113929, ' Yes': -0.0012428861, ' yes': -10.097411, 'Yes': -6.7428007}
{' No': -10.518397, ' ': -10.658632, ' Yes': -0.0014751824, ' yes': -10.098362, 'Yes': -6.5865726}
{' No': -1.756606, ' ': -9.391722, 'No': -7.0881658, ' Yes': -0.19237989, 'Yes': -6.573193}
{' No': -2.3137872, ' ': -8.743643, 'No': -7.416461, ' Yes': -0.106670104, 'Yes': -6.521611}
{' No': -0.0046107564, 'No': -5.4425683, ' Yes': -8.335201, ' ': -10.447509, 'Yes': -13.941267}
{' No': -0.005438887, ' ': -10.048346, 'No': -5.2274046, ' Yes': -11.483284, ' no': -13.993872}
{' ': -11.683509, ' Generally': -10.957587, ' Yes': -0.0011421539, ' yes': -10.154626, 'Yes': -6.837165}
{' Yes': -0.002101917, 'Yes': -6.6125274, ' No': -7.3035936, ' yes': -10.078789, ' ': -10.245271}
{' No': -11.223673, ' ': -10.852289, ' Yes': -0.0011845818, ' yes': -10.269688, 'Yes': -6.7993817}
{' No': -2.9932177, ' ': -9.763546, 'No': -8.652473, ' Yes': -0.05342503, 'Yes': -6.427969}
{' ': -11.136388, ' Generally': -11.379262, ' Yes': -0.0013031635, ' yes': -10.051418, 'Yes': -6.702816}
{' No': -9.493351, ' ': -10.481657, ' Yes': -0.0013529991, ' yes': -10.136326, 'Yes': -6.7219353}
{' No': -0.5544533, ' Yes': -0.86173856, 'No': -6.0657864, 'Yes': -7.3026047, ' ': -9.067095}
{' No': -0.32856748, ' ': -8.497029, 'No': -5.6360183, ' Yes': -1.2882195, 'Yes': -7.6827273}
{' No': -0.003946122, ' ': -10.629729, 'No': -5.5509615, ' A': -14.108706, ' Yes': -10.460769}
{' No': -0.0058918204, 'No': -5.1448097, ' ': -10.165074, ' Yes': -12.763676, ' An': -14.01811}
{' ': -11.74831, ' Generally': -10.937124, ' Yes': -0.0010826613, ' yes': -10.319786, 'Yes': -6.8874917}
{' No': -9.667956, ' ': -10.6536455, ' Yes': -0.0012489733, ' yes': -10.176185, 'Yes': -6.794416}
{' No': -13.161741, ' ': -11.204226, ' Yes': -0.0010167877, ' yes': -10.330383, 'Yes': -6.942629}
{' No': -3.916572, 'No': -9.60172, ' Yes': -0.021558546, ' yes': -10.026331, 'Yes': -6.662494}
{' ': -11.271011, ' Generally': -11.622767, ' Yes': -0.0010034231, ' yes': -10.188641, 'Yes': -6.9692936}
{' No': -11.288597, ' ': -10.972147, ' Yes': -0.00116059, ' yes': -10.115111, 'Yes': -6.827505}
{' Yes': -0.08957241, ' No': -2.4810212, 'Yes': -6.55935, 'No': -7.763723, ' yes': -9.82907}
{' No': -2.8017132, ' ': -9.10978, 'No': -8.029262, ' Yes': -0.06443741, 'Yes': -6.7230997}
{' No': -0.004192697, ' ': -10.660547, 'No': -5.6111965, ' Yes': -7.601856, 'Yes': -13.508638}
{' No': -0.0051773265, 'No': -5.282307, ' Yes': -9.945828, ' ': -10.458911, ' Generally': -13.08782}
{' ': -11.240894, ' Generally': -10.20017, ' Yes': -0.0017437781, ' yes': -9.426277, 'Yes': -6.434813}
