{' No': -0.011050761, ' Not': -12.512437, ' ': -10.515855, ' Generally': -11.123646, 'No': -4.5152335}
{' No': -0.010268559, ' ': -9.658254, ' Generally': -9.900626, 'No': -4.6077933, ' It': -9.442098}
{' No': -0.006383525, ' Not': -14.038706, ' ': -10.220437, 'No': -5.0636287, ' no': -14.07186}
{' No': -0.005566006, '\n': -14.516857, ' ': -10.614105, 'No': -5.198784, ' no': -14.203453}
{' No': -0.0073742694, 'No': -4.9191804, ' ': -10.173328, ' Generally': -13.879427, '\n': -14.082038}
{' No': -0.005185715, ' ': -10.023318, 'No': -5.273603, ' no': -13.666574, ' NO': -14.498557}
{' No': -0.005993272, ' Not': -13.190582, ' ': -10.193516, ' Generally': -10.869083, 'No': -5.130688}
{' No': -0.005066312, ' Not': -13.475241, ' ': -10.285385, ' Generally': -11.913842, 'No': -5.296623}
{' No': -0.00526211, 'No': -5.2556796, ' ': -10.615523, ' Generally': -12.783242, ' no': -14.263881}
{' No': -0.00525426, '\n': -13.972072, ' ': -10.343703, ' Generally': -12.841105, 'No': -5.2586703}
{' No': -0.0036271033, ' ': -10.0962515, 'No': -5.6334167, ' no': -13.728435, ' NO': -14.164003}
{' No': -0.019012667, ' Not': -8.199405, ' Generally': -5.865146, 'No': -4.4934793, ' It': -5.577955}
{' No': -0.0076708794, ' ': -9.851102, ' Generally': -8.533985, 'No': -4.916679, ' It': -10.418288}
{' No': -0.00826056, ' Not': -12.352295, ' ': -9.72859, ' Generally': -9.527059, 'No': -4.8192077}
{' No': -0.0047278292, '\n': -14.244753, ' ': -9.86928, 'No': -5.368476, ' no': -13.644283}
{' No': -0.083282106, ' It': -3.1961398, ' Generally': -3.7979617, 'No': -4.407001, ' Not': -6.886665}
{' No': -0.011489966, ' ': -9.634839, ' Generally': -7.053644, 'No': -4.567541, ' It': -10.293433}
{' No': -0.0045107016, ' ': -10.043483, 'No': -5.414215, ' no': -13.804454, ' NO': -14.26075}
{' No': -0.016668638, ' Generally': -6.2242374, 'No': -4.3216705, ' Yes': -7.405668, ' It': -8.025563}
{' No': -0.007590579, ' ': -9.895496, ' Generally': -12.877853, 'No': -4.892167, ' no': -14.125962}
{' No': -0.0103565445, ' ': -8.97593, ' Generally': -9.899409, 'No': -5.037065, ' Yes': -5.625152}
{' No': -0.012781926, ' ': -9.97474, ' Generally': -8.92332, 'No': -4.3841558, ' It': -10.974182}
{' No': -0.012795814, ' Not': -9.486426, ' Generally': -8.764085, 'No': -4.4193354, ' It': -8.002366}
{' No': -0.007790292, 'No': -4.8657613, ' ': -10.083399, ' Generally': -12.242308, ' Not': -12.888314}
{' No': -0.007365324, 'No': -4.918769, ' ': -10.528478, ' no': -13.699907, ' Generally': -14.556497}
{' No': -0.009708369, ' ': -10.244162, ' Generally': -12.981122, 'No': -4.643934, ' no': -13.764147}
{' No': -0.007404115, ' ': -10.055343, 'No': -4.9157214, ' no': -13.347905, ' NO': -14.543569}
{' No': -0.0061747977, 'No': -5.1041017, ' Generally': -10.142096, ' ': -10.248022, ' Not': -12.829703}
{' No': -0.005856388, 'No': -5.1548357, ' ': -10.334575, ' Generally': -10.465904, ' Not': -13.046594}
{' No': -0.005619652, ' ': -10.697001, ' Generally': -11.876492, 'No': -5.190251, ' no': -13.983682}
{' No': -0.0057332464, ' ': -10.461682, ' Generally': -12.357051, 'No': -5.170646, ' no': -13.921292}
{' No': -0.004260755, ' ': -10.142227, 'No': -5.4705176, ' no': -13.42124, ' NO': -14.268105}
{' That': -5.472844, ' No': -0.21660925, ' Generally': -3.7153826, 'No': -4.2682333, ' It': -1.9345046}
{' No': -0.012373478, 'No': -4.6444187, ' It': -6.6281533, ' Generally': -6.91886, ' Not': -9.11009}
{' No': -0.01043514, ' ': -9.540421, ' Generally': -7.7682076, 'No': -4.6296673, ' Yes': -10.128578}
{' No': -0.00606115, ' ': -10.054482, ' Generally': -14.178818, 'No': -5.1168303, ' no': -13.206076}
{' That': -5.1036854, ' No': -0.54254156, ' Generally': -2.184763, 'No': -4.7341366, ' It': -1.2960205}
{' No': -0.018785859, ' Generally': -5.158777, ' Typically': -8.95582, 'No': -4.423643, ' It': -7.87075}
{' No': -0.0056099426, 'No': -5.194708, ' ': -10.077442, ' Generally': -13.250544, ' no': -13.412361}
{' No': -0.03346637, ' Generally': -4.6251354, 'No': -4.190895, ' Yes': -5.373312, ' It': -6.153}
{' No': -0.0076983282, ' ': -10.118159, ' Generally': -11.740462, 'No': -4.877484, ' no': -13.804467}
{' No': -0.009527647, ' ': -9.345497, ' Generally': -8.527956, 'No': -4.9281564, ' Yes': -6.256464}
{' No': -0.013714016, ' ': -10.115698, ' Generally': -9.215439, 'No': -4.310381, ' It': -10.6689205}
{' No': -0.012669885, ' Not': -9.3996725, ' Generally': -9.411992, 'No': -4.4215975, ' It': -7.980788}
{' No': -0.0070603415, ' Not': -13.252451, ' ': -10.1548395, ' Generally': -12.535939, 'No': -4.9636145}
{' No': -0.007652681, ' Not': -14.672086, ' ': -10.733532, 'No': -4.879732, ' no': -13.936356}
{' No': -0.009112284, 'No': -4.7070475, ' ': -10.271982, ' Generally': -13.206282, ' no': -14.065344}
{' No': -0.005363499, ' ': -10.383435, 'No': -5.2370358, ' no': -13.94664, ' NO': -15.013141}
{' No': -0.005981399, ' Not': -12.602771, ' ': -10.294207, ' Generally': -10.211462, 'No': -5.1356673}
{' No': -0.005782765, ' Not': -12.702342, ' ': -10.439563, ' Generally': -10.3049755, 'No': -5.1680675}
{' No': -0.0054370887, ' Not': -13.871633, ' ': -10.6030245, ' Generally': -11.219918, 'No': -5.2250204}
{' No': -0.006040044, ' Not': -13.718769, ' ': -10.377206, ' Generally': -11.285359, 'No': -5.1203647}
{' No': -0.0039850785, 'No': -5.5353227, ' ': -10.417274, ' no': -13.795994, ' NO': -14.58625}
{' That': -4.2750134, ' No': -0.6140006, ' Generally': -3.1730597, 'No': -4.725104, ' It': -0.9715103}
{' No': -0.01338353, ' ': -9.037717, ' Generally': -6.218717, 'No': -4.696502, ' It': -6.4083986}
{' No': -0.0100882165, 'No': -4.721243, ' Generally': -7.144802, ' It': -9.189861, ' ': -9.2663}
{' No': -0.0053516324, ' ': -10.033664, ' Generally': -13.747577, 'No': -5.242109, ' no': -13.563323}
{' That': -4.4563932, ' No': -1.0540154, ' Generally': -2.3510106, 'No': -5.162833, ' It': -0.65818715}
{' No': -0.020519461, ' Generally': -4.977503, ' Typically': -8.994398, 'No': -4.4447575, ' It': -6.8483887}
{' No': -0.0058171754, ' ': -10.175326, ' Generally': -12.902269, 'No': -5.157495, ' no': -13.840834}
{' No': -0.06892887, ' Generally': -3.7927923, 'No': -4.035056, ' Yes': -4.432193, ' It': -4.4774103}
{' No': -0.007731605, ' ': -10.201747, ' Generally': -11.0925045, 'No': -4.8737097, ' A': -13.612425}
