{' No': -0.008999929, ' ': -10.2733345, ' Generally': -10.194226, 'No': -4.7260695, ' Yes': -10.883266}
{' No': -0.009160827, ' ': -10.413552, ' Generally': -10.27554, 'No': -4.721107, ' Yes': -8.869211}
{' No': -0.0072946534, ' ': -10.719951, ' Generally': -10.682862, 'No': -4.939975, ' Yes': -9.663129}
{' No': -0.006309087, 'No': -5.0816927, ' ': -10.217395, ' Yes': -10.497204, ' Generally': -11.417835}
{' No': -0.0060619907, 'No': -5.1701074, ' Yes': -8.0283165, ' ': -10.772272, ' Generally': -11.63657}
{' No': -0.004721302, ' ': -10.614007, ' Generally': -14.037239, 'No': -5.384314, ' Yes': -9.257338}
{' No': -0.055217393, ' Generally': -5.074125, 'No': -4.6276145, ' Yes': -3.3322294, ' It': -6.802432}
{' No': -0.036798876, ' Generally': -5.111761, 'No': -4.5435433, ' Yes': -4.059702, ' It': -6.586863}
{' No': -0.01145168, ' Generally': -7.184879, 'No': -4.661695, ' Yes': -7.1075416, ' It': -8.864774}
{' No': -0.010857384, ' ': -9.513954, ' Generally': -7.6396656, 'No': -4.7870297, ' Yes': -6.300375}
{' No': -0.006768534, ' ': -9.664067, ' Generally': -10.93052, 'No': -5.0500116, ' Yes': -8.299909}
{' No': -5.038881, ' Generally': -4.2778463, ' Yes': -0.024217138, 'Yes': -6.3276553, ' It': -6.900949}
{' No': -0.79026985, ' Generally': -4.579862, 'No': -5.14381, ' Yes': -0.6394575, 'Yes': -6.4336734}
{' No': -0.58387566, ' Yes': -0.9086857, ' Generally': -3.5793133, 'No': -4.8709927, 'Yes': -6.856565}
{' No': -0.0064143003, ' ': -10.203154, ' Generally': -11.740613, 'No': -5.128515, ' Yes': -7.779981}
{' Yes': -0.003111634, 'Yes': -6.497308, ' Generally': -6.5589, ' yes': -10.079764, ' No': -10.094866}
{' Yes': -0.0027086632, 'Yes': -6.709945, ' Generally': -6.820278, ' No': -8.26416, ' yes': -10.129624}
{' No': -1.4711057, ' Generally': -8.041182, 'No': -6.4918156, ' Yes': -0.26589224, 'Yes': -6.4111786}
{' No': -1.2223071, ' Generally': -3.6427534, 'No': -5.76506, ' Yes': -0.39649, 'Yes': -6.678642}
{' No': -0.22602805, ' Generally': -6.5401297, 'No': -5.0931177, ' Yes': -1.6407278, 'Yes': -7.6663632}
{' ': -10.910074, ' Generally': -11.500098, ' Yes': -0.0012627592, ' yes': -10.421709, 'Yes': -6.7267494}
{' No': -0.010295418, ' ': -10.095798, ' Generally': -8.667445, 'No': -4.6163974, ' Yes': -9.004106}
