{' No': -12.621933, ' ': -10.259762, ' Yes': -0.0020083846, ' yes': -10.109585, 'Yes': -6.2551475}
{' ': -10.452969, ' Generally': -12.842031, ' Yes': -0.0017756622, ' yes': -9.991295, 'Yes': -6.381872}
{' Yes': -0.002053955, 'Yes': -6.2728705, ' ': -9.680057, ' No': -10.0028925, ' yes': -10.015256}
{' No': -5.902948, ' ': -8.956119, ' Yes': -0.0051323334, ' yes': -9.81879, 'Yes': -6.134968}
{' Yes': -0.0015804895, 'Yes': -6.5198927, ' yes': -10.067065, ' ': -10.108132, ' No': -10.939975}
{' No': -0.013912843, ' Yes': -4.5789742, 'No': -5.6773667, ' ': -9.203763, 'Yes': -10.565104}
{' No': -5.9971704, ' Generally': -6.13271, ' Yes': -0.0075615705, 'Yes': -6.03245, ' It': -9.0302725}
{' No': -3.3941545, ' Generally': -4.58801, ' Yes': -0.051163852, 'Yes': -5.945689, ' It': -6.2855043}
{' No': -0.012411132, ' Generally': -7.591394, 'No': -4.5713806, ' Yes': -7.350036, ' It': -7.504173}
{' No': -0.0056079654, ' ': -10.370747, ' Generally': -12.640313, 'No': -5.195732, ' Yes': -11.084116}
{' No': -0.0043459386, 'No': -5.45041, ' ': -10.127574, ' no': -14.506504, ' NO': -14.940498}
{' No': -0.05129918, ' Not': -7.4317575, ' Generally': -4.430669, 'No': -4.231776, ' It': -3.8610446}
{' No': -0.009318501, ' ': -10.024167, ' Generally': -9.534583, 'No': -4.6986933, ' It': -10.620171}
{' No': -0.0074864416, ' ': -10.433189, ' Generally': -12.054084, 'No': -4.9035892, ' no': -14.31665}
{' No': -0.0041001043, ' ': -10.757014, 'No': -5.504414, ' no': -14.201487, ' NO': -14.914208}
{' No': -0.012032636, ' Not': -9.420349, ' Generally': -6.8352036, 'No': -4.6158266, ' It': -7.208586}
{' No': -0.0070623234, ' ': -10.058337, ' Generally': -9.800036, ' Typically': -13.168262, 'No': -4.9720225}
{' No': -0.0039655725, ' ': -10.608635, 'No': -5.538851, ' no': -14.186865, ' NO': -14.938622}
{' No': -0.009045639, ' ': -9.334004, ' Generally': -7.733266, 'No': -4.8162026, ' Yes': -7.9820466}
