{' ': -10.746939, ' Generally': -9.173347, ' Yes': -0.0015200131, ' yes': -10.15593, 'Yes': -6.613252}
{' No': -9.961487, ' ': -9.808691, ' Generally': -8.882353, ' Yes': -0.002067753, 'Yes': -6.337919}
{' No': -0.093538, ' Yes': -2.4966695, 'No': -5.0321293, 'Yes': -8.364653, ' ': -8.975541}
{' No': -0.004630219, ' ': -10.712977, ' Generally': -13.843583, 'No': -5.4304986, ' Yes': -8.456176}
{' No': -5.355711, ' ': -9.016932, ' Yes': -0.00673145, ' yes': -10.077372, 'Yes': -6.350189}
{' No': -3.9263704, ' ': -9.178406, 'No': -9.437692, ' Yes': -0.021557022, 'Yes': -6.5765333}
{' No': -9.310007, ' ': -9.781782, ' Generally': -9.130966, ' Yes': -0.0015148205, 'Yes': -6.7221603}
{' No': -4.143962, ' Generally': -8.368428, 'No': -9.0668545, ' Yes': -0.017840357, 'Yes': -6.605454}
{' No': -0.6099355, ' Yes': -0.79482055, 'No': -5.7393045, 'Yes': -7.0980463, ' Generally': -7.555776}
{' No': -8.6001425, ' ': -10.162549, ' Yes': -0.0013808743, ' yes': -10.079281, 'Yes': -6.816041}
{' Yes': -0.00431487, ' No': -5.807762, 'Yes': -6.775904, ' ': -9.15484, ' yes': -10.127626}
{' No': -0.08182682, ' Generally': -4.544317, 'No': -4.6297545, ' Yes': -2.8691552, ' It': -7.631587}
{' No': -0.009127984, ' ': -9.722224, ' Generally': -7.3453474, 'No': -4.8664813, ' Yes': -7.391751}
{' No': -0.09608329, ' ': -8.424366, ' Generally': -6.296725, 'No': -5.1148405, ' Yes': -2.4855144}
{' No': -0.086794235, ' ': -8.603554, 'No': -5.6965084, ' Yes': -2.5325112, 'Yes': -9.001255}
{' No': -9.81364, ' Generally': -5.9410424, ' Typically': -10.109786, ' Yes': -0.0041912002, 'Yes': -6.6235948}
{' ': -10.525816, ' Generally': -8.550672, ' Yes': -0.0014143569, ' yes': -10.441353, 'Yes': -6.777819}
{' No': -9.505207, ' ': -9.875302, ' Yes': -0.0012719505, ' yes': -10.347624, 'Yes': -6.8036633}
{' No': -5.5474033, ' ': -9.719719, ' Generally': -6.421997, ' Yes': -0.007066944, 'Yes': -6.624712}
